"startX" "startY" "startZ" "endX" "endY" "endZ" "cyl_ID" "parent_ID" "extension_ID" "length" "axis_ID" "segment_ID" "node_ID" "branching_order" "X94.5504632813008"
-1.54 0.2 6.05 -1.53 0.23 6.07 5402 5376 5403 0.04 29 5417 5376 2 41.06
0.1 0.18 6.61 0.11 0.19 6.61 5798 5797 5799 0.01 39 5823 5797 2 5.99
0.2 0.29 6.79 0.24 0.27 6.78 6021 5823 6022 0.05 39 6035 5823 2 35.94
0.27 0.39 6.97 0.28 0.4 6.98 5850 5849 5851 0.01 319 5873 5849 3 19.86
0.33 0.47 7.15 0.34 0.47 7.16 5874 5873 5875 0.01 319 5886 5873 3 3.81
0.36 0.5 7.26 0.36 0.51 7.27 5887 5886 5888 0.01 319 5899 5886 3 24.94
0.38 0.53 7.37 0.38 0.53 7.38 5900 5899 5901 0.01 319 5922 5899 3 15.32
0.39 0.57 7.56 0.4 0.58 7.57 5931 5922 5932 0.01 319 5943 5922 3 22.5
0.33 0.28 6.87 0.36 0.35 6.84 6095 6035 6098 0.08 39 6095 6035 2 85.34
0.36 0.35 6.84 0.36 0.35 6.83 6098 6095 6099 0.01 39 6197 6095 2 154.01
0.22 0.02 6.04 0.23 0.02 6.04 6198 6197 6199 0.01 39 6227 6197 2 172.3
0.41 0.02 6.17 0.42 0.02 6.18 6228 6227 6229 0.01 39 6261 6227 2 42.05
0.61 0.02 6.34 0.61 0.02 6.35 6262 6261 6263 0.01 39 6281 6261 2 12.4
0.72 0.03 6.46 0.72 0.03 6.47 6282 6281 6283 0.01 39 6312 6281 2 34.47
0.87 0.02 6.66 0.88 0.02 6.67 6313 6312 6314 0.01 39 6335 6312 2 14.85
0.96 0 6.8 0.97 0.04 6.8 6398 6335 6399 0.03 39 6435 6335 2 17.84
0.17 -0.45 4.06 0.17 -0.47 4.06 6879 6836 6880 0.01 21 6914 6836 2 173.76
0.27 -0.73 4.08 0.27 -0.74 4.08 6915 6914 6916 0.01 21 6936 6914 2 58.68
0.33 -0.89 4.1 0.33 -0.9 4.1 6937 6936 6938 0.01 21 6956 6936 2 38.2
0.39 -1.04 4.13 0.39 -1.06 4.13 6957 6956 6958 0.02 21 6987 6956 2 59.3
0.47 -1.29 4.2 0.47 -1.3 4.21 6988 6987 6989 0.02 21 7007 6987 2 25.66
0.51 -1.45 4.27 0.51 -1.45 4.27 7008 7007 7009 0 21 7029 7007 2 49.7
0.55 -1.61 4.34 0.55 -1.61 4.34 7030 7029 7031 0.01 21 7074 7029 2 53.43
-0.26 0.46 4.8 -0.26 0.47 4.81 7385 7384 7386 0.01 23 7400 7384 2 33.99
-0.31 0.57 4.84 -0.32 0.58 4.84 7401 7400 7402 0.01 23 7433 7400 2 73.15
-0.44 0.81 4.9 -0.45 0.82 4.9 7434 7433 7435 0.01 23 7455 7433 2 23.22
-0.52 0.95 4.96 -0.53 0.96 4.96 7456 7455 7457 0.01 23 7483 7455 2 45.24
-0.6 1.13 5.05 -0.6 1.13 5.05 7484 7483 7485 0.01 23 7527 7483 2 51.09
-0.7 1.41 5.23 -0.7 1.42 5.23 7528 7527 7529 0.01 23 7531 7527 2 23.03
